Date,Open,High,Low,Close,Volume
2017-02-23,20817.2109375,20840.69921875,20746.41015625,20810.3203125,3021100
2017-02-24,20751.91015625,20821.759765625,20733.94921875,20821.759765625,2925400
2017-02-27,20808.7109375,20851.330078125,20774.759765625,20837.439453125,2565400
2017-02-28,20833.880859375,20841.240234375,20781.2109375,20812.240234375,3392100
2017-03-01,20957.2890625,21169.109375,20957.2890625,21115.55078125,3928200
2017-03-02,21128.91015625,21129.19921875,20996.609375,21002.970703125,3199100
2017-03-03,21008.75,21039.9609375,20953.859375,21005.7109375,2544200
2017-03-06,20955.7109375,20986.4296875,20912.109375,20954.33984375,2666200
2017-03-07,20934.890625,20970.5390625,20901.259765625,20924.759765625,2746300
2017-03-08,20940.439453125,20951.439453125,20835.580078125,20855.73046875,2967800
2017-03-09,20864.3203125,20900.5703125,20777.16015625,20858.189453125,2759600
2017-03-10,20919.009765625,20940.2890625,20827.66015625,20902.98046875,3154300
2017-03-13,20899.279296875,20926.060546875,20845.7109375,20881.48046875,2892600
2017-03-14,20848.599609375,20874.0,20786.310546875,20837.369140625,2468200
2017-03-15,20874.779296875,20977.470703125,20859.599609375,20950.099609375,3065900
2017-03-16,20969.26953125,21000.109375,20893.5,20934.55078125,2643600
2017-03-17,20965.369140625,20980.509765625,20911.0703125,20914.619140625,5352800
2017-03-20,20916.26953125,20955.44921875,20885.69921875,20905.859375,2536100
2017-03-21,20956.330078125,20970.0390625,20653.259765625,20668.009765625,3693200
2017-03-22,20640.419921875,20686.2109375,20578.94921875,20661.30078125,3250900
2017-03-23,20645.0703125,20757.890625,20618.619140625,20656.580078125,2800500
2017-03-24,20674.44921875,20718.330078125,20529.669921875,20596.720703125,2929800
2017-03-27,20488.349609375,20578.4609375,20412.80078125,20550.98046875,2693800
2017-03-28,20542.140625,20735.609375,20520.099609375,20701.5,2996700
2017-03-29,20675.75,20684.73046875,20625.029296875,20659.3203125,2383200
2017-03-30,20662.7890625,20753.779296875,20643.599609375,20728.490234375,2709000
2017-03-31,20700.33984375,20722.58984375,20660.6796875,20663.220703125,3037700
2017-04-03,20665.169921875,20692.33984375,20517.8203125,20650.2109375,2856700
2017-04-04,20634.939453125,20701.2890625,20605.30078125,20689.240234375,2373900
2017-04-05,20745.060546875,20887.5,20639.55078125,20648.150390625,2849800
2017-04-06,20653.76953125,20746.4609375,20612.169921875,20662.94921875,2517200
2017-04-07,20647.810546875,20726.0703125,20606.94921875,20656.099609375,2197300
2017-04-10,20668.220703125,20750.330078125,20614.859375,20658.01953125,2304800
2017-04-11,20644.3203125,20660.029296875,20512.560546875,20651.30078125,2551200
2017-04-12,20637.94921875,20642.5390625,20553.029296875,20591.859375,2676700
2017-04-13,20561.689453125,20612.26953125,20453.25,20453.25,2358100
2017-04-17,20484.75,20644.41015625,20484.75,20636.919921875,2292400
2017-04-18,20561.390625,20600.119140625,20462.279296875,20523.279296875,2631800
2017-04-19,20503.51953125,20546.689453125,20379.55078125,20404.490234375,2947900
2017-04-20,20406.6796875,20629.779296875,20406.6796875,20578.7109375,3124400
2017-04-21,20578.099609375,20601.400390625,20505.330078125,20547.759765625,3696000
2017-04-24,20723.58984375,20792.19921875,20723.58984375,20763.890625,3424000
2017-04-25,20915.509765625,21026.970703125,20909.380859375,20996.119140625,3481800
2017-04-26,21009.94921875,21070.900390625,20972.26953125,20975.08984375,3285500
2017-04-27,20991.119140625,21005.80078125,20935.80078125,20981.330078125,3056900
2017-04-28,20987.390625,20987.759765625,20926.75,20940.509765625,3299900
2017-05-01,20962.73046875,20976.619140625,20898.380859375,20913.4609375,2881600
2017-05-02,20941.189453125,20960.919921875,20904.060546875,20949.890625,3388100
2017-05-03,20915.0,20972.740234375,20874.1796875,20957.900390625,3109200
2017-05-04,20987.830078125,20990.7890625,20847.94921875,20951.470703125,2747200
2017-05-05,20929.0390625,21006.939453125,20905.0,21006.939453125,2609600
2017-05-08,20991.259765625,21017.890625,20971.05078125,21012.279296875,2761500
2017-05-09,21022.279296875,21046.849609375,20938.0390625,20975.779296875,2730000
2017-05-10,20958.490234375,20976.279296875,20884.150390625,20943.109375,2833400
2017-05-11,20925.720703125,20933.359375,20798.900390625,20919.419921875,2876800
2017-05-12,20893.189453125,20916.099609375,20869.740234375,20896.609375,2885000
2017-05-15,20923.630859375,21000.830078125,20923.630859375,20981.939453125,3131700
2017-05-16,20984.48046875,21033.529296875,20932.880859375,20979.75,3115800
2017-05-17,20846.169921875,20846.169921875,20601.080078125,20606.9296875,4232000
2017-05-18,20579.650390625,20759.19921875,20553.44921875,20663.01953125,4225900
2017-05-19,20698.279296875,20857.130859375,20687.939453125,20804.83984375,3651800
2017-05-22,20867.76953125,20914.259765625,20860.16015625,20894.830078125,2761200
